# haiku2u content file — edit me freely!
# One row per candidate line:  theme,stage,line
#   stage 1 = first line of the haiku  (5 syllables)
#   stage 2 = second line               (7 syllables)
#   stage 3 = third line                (5 syllables)
# A theme needs at least 3 lines per stage to appear in the game.
# Give a theme MORE than 3 lines per stage and the game will pick 3 at random.
# Lines may contain commas; only the first two commas split the row.
# Check your syllable counts with:  npm run check:syllables
theme,stage,line
peace,1,Still water at dawn
peace,1,The valley exhales
peace,1,No wind on the reeds
peace,2,The river forgets its haste
peace,2,Mountains rest on folded hands
peace,2,Even the herons are still
peace,3,My breath joins the mist
peace,3,Nothing left to guard
peace,3,One bell then silence
fear,1,A branch snaps unseen
fear,1,Cold creeps up the spine
fear,1,The dark between trees
fear,2,Shadows grow teeth in the dusk
fear,2,The heart drums against its cage
fear,2,What waits where the light cannot
fear,3,Still I take one step
fear,3,Dawn will name the shapes
fear,3,The owl knows my name
loyalty,1,One flag in the storm
loyalty,1,The dog waits at dusk
loyalty,1,Roots hold the steep bank
loyalty,2,Through winter the pine stays green
loyalty,2,A vow carved deep into oak
loyalty,2,The river returns each spring
loyalty,3,I will not let go
loyalty,3,Ash remembers flame
loyalty,3,Beside you the road
determination,1,Water cuts the stone
determination,1,One seed splits the rock
determination,1,The climb starts in rain
determination,2,A thousand small blows then light
determination,2,The salmon leaps the white falls
determination,2,Roots break pavement given years
determination,3,I begin again
determination,3,The summit will wait
determination,3,One more step. One more
endurance,1,Old stone wears the wind
endurance,1,The oak counts its scars
endurance,1,Winter's longest night
endurance,2,Tides have carved this cliff for years
endurance,2,The moss outlives the tempest
endurance,2,Bamboo bends and does not break
endurance,3,Morning finds me here
endurance,3,Worn smooth never gone
endurance,3,The root holds the hill
solitude,1,One boat gray water
solitude,1,A single crane calls
solitude,1,My shadow and I
solitude,2,No footprints cross this white field
solitude,2,Smoke rises from one far hut
solitude,2,Silence pours into the bowl
solitude,3,Alone not lonely
solitude,3,The moon sits with me
solitude,3,Enough — this one cup
community,1,Lanterns line the path
community,1,Many hands one rope
community,1,Smoke from twenty hearths
community,2,Geese write their V across dusk
community,2,Each beam raised by many backs
community,2,The harvest songs overlap
community,3,No one eats alone
community,3,The long table waits
community,3,We carry it home
friendship,1,Two cups one teapot
friendship,1,Footprints side by side
friendship,1,A laugh splits the cold
friendship,2,Old pines lean on each other
friendship,2,Words are not needed to sit
friendship,2,Your silence understands mine
friendship,3,Stay for one more pour
friendship,3,The gate is open
friendship,3,Warmth shared is doubled
family,1,Smoke from the hearth climbs
family,1,Small boots by the door
family,1,Her hands knead the dough
family,2,The sparrows feed their loud nest
family,2,Old roots new branches one tree
family,2,Grandmother hums the same song
family,3,We fit all of us
family,3,Home is where they wait
family,3,Supper calls us in
responsibility,1,The lamp must be lit
responsibility,1,Keys weigh on the belt
responsibility,1,The flock watches me
responsibility,2,Someone must carry the light
responsibility,2,The bridge is mine to repair
responsibility,2,Rain or not the fields need me
responsibility,3,I don't set it down
responsibility,3,The watch is not done
responsibility,3,So I rise early
truth,1,Clear ice shows the stones
truth,1,The mirror lake waits
truth,1,Light through clean water
truth,2,What the bones know the mouth hides
truth,2,Still water does not flatter
truth,2,The plain stone outlasts the paint
truth,3,Say it and be light
truth,3,The root is the root
truth,3,Dawn hides no edges
deception,1,Fog wears the lake's face
deception,1,Bright lures hide their hooks
deception,1,The fox grins then bows
deception,2,Sweet words over shallow roots
deception,2,The mask smiles while the eyes count
deception,2,Mirrors tilted at the sun
deception,3,The ice was paper
deception,3,Trust spent like false coin
deception,3,Fog lifts. Bare branches
honesty,1,The scale tips truly
honesty,1,An open ledger
honesty,1,Calluses not paint
honesty,2,The cracked bowl shown not hidden
honesty,2,I name my harvest plainly
honesty,2,What I owe I say out loud
honesty,3,Sleep comes easily
honesty,3,My word my full weight
honesty,3,The door needs no lock
desire,1,The moth and the flame
desire,1,Ripe plums out of reach
desire,1,Thirst in sight of rain
desire,2,The tide reaches for the moon
desire,2,Roots crawl for water all night
desire,2,One lantern pulls all the moths
desire,3,Hunger sharpens sight
desire,3,Always almost mine
desire,3,Still my hand reaches
duty,1,The gate must be watched
duty,1,Dawn drum calls me up
duty,1,The road wears my boots
duty,2,I plant for those I won't meet
duty,2,The oath outlives the soldier
duty,2,Someone's lamp must stay burning
duty,3,So I stand my post
duty,3,Rest when the field rests
duty,3,The work is the prayer
memory,1,Pressed leaves in a book
memory,1,Her scent on cold wind
memory,1,Footsteps in old snow
memory,2,The empty chair still leans back
memory,2,Echoes wear the canyon smooth
memory,2,The scar recalls the sharp day
memory,3,Some doors never shut
memory,3,I taste it again
memory,3,Old light still arrives
courage,1,Small bird vast tempest
courage,1,The first foot on ice
courage,1,A matchstick at night
courage,2,Knees shake; the step happens still
courage,2,The sprout dares the late spring frost
courage,2,Fear walks with me not ahead
courage,3,I open the door
courage,3,Trembling but upright
courage,3,The flame holds its ground
hope,1,Green through the burnt field
hope,1,One star in the storm
hope,1,A bud in the frost
hope,2,Even ash feeds the next spring
hope,2,Far off the rain has ended
hope,2,The seed believes in the sun
hope,3,Morning will arrive
hope,3,I save one dry match
hope,3,Light leans to us all
impermanence,1,Petals on the stream
impermanence,1,Dew on spider silk
impermanence,1,Sandcastles at noon
impermanence,2,The moon rents, it does not own
impermanence,2,Snowmen kneel into the thaw
impermanence,2,Smoke writes, the wind erases
impermanence,3,Hold it loosely now
impermanence,3,Already farewell
impermanence,3,Beautiful brief gone
grief,1,Rain fills her teacup
grief,1,The half-empty bed
grief,1,Salt on my own lips
grief,2,The willow learned how to weep
grief,2,His coat still hangs by the door
grief,2,Winter stays long in some rooms
grief,3,I water the stone
grief,3,The ache is the love
grief,3,Spring will be heavy
joy,1,Puddles and bare feet
joy,1,The kite tugs my hand
joy,1,First plum of summer
joy,2,Laughter spills over the wall
joy,2,The dog runs for the running
joy,2,Sun warms the back of my neck
joy,3,I forget my age
joy,3,More says the whole heart
joy,3,Today is enough
love,1,Two spoons left to dry
love,1,Her laugh in my chest
love,1,Tea poured before asked
love,2,The vine and the trellis hold
love,2,I learn the weather of you
love,2,Home is a person mostly
love,3,Stay. The rice is warm
love,3,My coat your shoulders
love,3,Even silence shared
loss,1,One glove in the snow
loss,1,The swing still moving
loss,1,A key to no door
loss,2,The orchard gave its last fruit
loss,2,Where the tree stood so much sky
loss,2,The song ends mid-verse and stays
loss,3,I keep the empty
